"Name","Age","Class","Sex","Survived","Title"
"BUTT, Major Archibald Willingham",46,"1st","M","N","Maj"
"DALY, Miss Margaret Marcella ",33,"3rd","F","Y","Mis"
"AYOUB DAHER, Miss Banoura",15,"3rd","F","Y","Mis"
"MCGOUGH, Mr James Robert",35,"1st","M","Y","Mr "
"VESTRöM, Miss Hulda Amanda Adolfina",14,"3rd","F","N","Mis"
"PEARS, Mrs Edith",22,"1st","F","Y","Mrs"
"PEUCHEN, Major Arthur Godfrey",52,"1st","M","Y","Maj"
"HODGES, Mr Henry Price",50,"2nd","M","N","Mr "
"WOOLNER, Mr Hugh",46,"1st","M","Y","Mr "
"PULNER, Mr Uscher",16,"3rd","M","N","Mr "
"LOUCH, Mrs Alice Adelaide",43,"2nd","F","Y","Mrs"
"MEEHAN, Mr John",22,"3rd","M","N","Mr "
"GALE, Mr Harry",38,"2nd","M","N","Mr "
"DENKOFF, Mr Mitto",30,"3rd","M","N","Mr "
"TöRBER, Mr Ernst Wilhelm",41,"3rd","M","N","Mr "
"MARTIN, Miss Virginia Ethel",5,"3rd","F","Y","Mis"
"COMPTON, Mrs Mary Eliza",64,"1st","F","Y","Mrs"
"BROWN, Miss Edith Eileen",15,"2nd","F","Y","Mis"
"IBRAHIM SHAWAH, Mr Yousseff",33,"3rd","M","N","Mr "
"SKOOG, Master Karl Thorsten",11,"3rd","M","N","Mas"
"LINES, Miss Mary Conover",16,"1st","F","Y","Mis"
"Y?SUF, Mrs K?tr?n",23,"3rd","F","Y","Mrs"
"N?Q?LA Y?RID, Miss Jamilah",14,"3rd","F","Y","Mis"
"TU'MAH, Mrs Hinnah",27,"3rd","F","Y","Mrs"
"HARTLEY, Mr Wallace Henry",33,"2nd","M","N","Mr "
"CACIC, Miss Manda",21,"3rd","F","N","Mis"
"ALDWORTH, Mr Augustus Henry",35,"2nd","M","N","Mr "
"NASR 'ALM?, Mr Mustafà",20,"3rd","M","N","Mr "
"BISHOP, Mr Dickinson H.",25,"1st","M","Y","Mr "
"HENRY, Miss Bridget Delia",21,"3rd","F","N","Mis"
"MARKOFF, Mr Marin",35,"3rd","M","N","Mr "
"TAYLOR, Mr Percy Cornelius",40,"2nd","M","N","Mr "
"WAELENS, Mr Achille",22,"3rd","M","N","Mr "
"TROUPIANSKY, Mr Moses Aaron",23,"2nd","M","N","Mr "
"CARTER, Master William Thornton II",11,"1st","M","Y","Mas"
"ÖHMAN, Miss Velin",22,"3rd","F","Y","Mis"
"HICKMAN, Mr Leonard Mark",24,"2nd","M","N","Mr "
"JOHANSSON, Mr Erik",22,"3rd","M","N","Mr "
"COLBERT, Mr Patrick",24,"3rd","M","N","Mr "
"CORNBLATT, Mr Harris",30,"3rd","M","N","Mr "
"LENNON, Mr Denis",20,"3rd","M","N","Mr "
"LAHTINEN, Mrs Anna Amelia",34,"2nd","F","N","Mrs"
"BARRY, Miss Julia",33,"3rd","F","N","Mis"
"ANDREW, Mr Edgar Samuel",17,"2nd","M","N","Mr "
"MANGIAVACCHI, Mr Serafino Emilio",30,"2nd","M","N","Mr "
"SHIH?B, Mr Al-Am?r F?ris ",26,"3rd","M","N","Mr "
"LEMORE, Mrs Amelia ",39,"2nd","F","Y","Mrs"
"KIMBALL, Mrs Susan Gertrude",45,"1st","F","Y","Mrs"
"WILKES, Mrs Ellen",47,"3rd","F","Y","Mrs"
"STOREY, Mr Thomas",59,"3rd","M","N","Mr "
"WARREN, Mr Charles William",31,"3rd","M","N","Mr "
"MERNAGH, Mr Robert",28,"3rd","M","N","Mr "
"THOMPSON, Mr Alexander Mellis",37,"3rd","M","N","Mr "
"CREASE, Mr Ernest James",20,"3rd","M","N","Mr "
"DAVIDSON, Mr Thornton",31,"1st","M","N","Mr "
"NAKID, Mr Sa'?d Ant?n",21,"3rd","M","Y","Mr "
"HEIKKINEN, Miss Laina Maria",16,"3rd","F","Y","Mis"
"CARRAú-ESTEVES, Mr José Pedro",17,"1st","M","N","Mr "
"NEWSOM, Miss Helen Monypeny",19,"1st","F","Y","Mis"
"BIRNBAUM, Mr Jakob",24,"1st","M","N","Mr "
"WILSON, Miss Helen Alice",31,"1st","F","Y","Mis"
"LINDEBERG-LIND, Mr Erik Gustaf",42,"1st","M","N","Mr "
"KELLY, Mr James",19,"3rd","M","N","Mr "
"FAHLSTRøM, Mr Arne Joma",18,"2nd","M","N","Mr "
"HEDMAN, Mr Oskar Arvid",27,"3rd","M","Y","Mr "
"ILETT, Miss Bertha",17,"2nd","F","Y","Mis"
"CARTER, Mrs Lilian",45,"2nd","F","N","Mrs"
"JOHNSON, Mr August",49,"3rd","M","N","Mr "
"BARBARA, Miss Saiide",18,"3rd","F","N","Mis"
"DEAN, Miss Elizabeth Gladys 'Millvina'",0,"3rd","F","Y","Mis"
"VANDEWALLE, Mr Nestor Cyriel",28,"3rd","M","N","Mr "
"DENNIS, Mr Samuel",22,"3rd","M","N","Mr "
"ROSENBAUM, Miss Edith Louise",33,"1st","F","Y","Mis"
"HART, Miss Eva Miriam",7,"2nd","F","Y","Mis"
"THAYER, Mrs Marian Longstreth",39,"1st","F","Y","Mrs"
"RIGHINI, Mr Sante",22,"1st","M","N","Mr "
"GREENFIELD, Mr William Bertram",23,"1st","M","Y","Mr "
"BACKSTRöM, Mr Karl Alfred",32,"3rd","M","N","Mr "
"FARRELL, Mr James ",26,"3rd","M","N","Mr "
"MORLEY, Mr Henry Samuel",38,"2nd","M","N","Mr "
"FAUNTHORPE, Mr Harry Bartram",32,"2nd","M","N","Mr "
"TöRNQUIST, Mr William Henry",26,"3rd","M","Y","Mr "
"YOUSSIFF (SAM'AAN), Mr Gerios",45,"3rd","M","N","Mr "
"PLOTCHARSKY, Mr Vasil",27,"3rd","M","N","Mr "
"GILES, Mr Ralph",24,"2nd","M","N","Mr "
"GASKELL, Mr William Alfred",19,"2nd","M","N","Mr "
"ROBINS, Mr Alexander",50,"3rd","M","N","Mr "
"LOUCH, Mr Charles",50,"2nd","M","N","Mr "
"MURDLIN, Mr Joseph",22,"3rd","M","N","Mr "
"LANG, Mr Fang",32,"3rd","M","Y","Mr "
"ROGERS, Mr William John",30,"3rd","M","N","Mr "
"D?B?, Mr Ily?s",29,"3rd","M","N","Mr "
"CELOTTI, Mr Francesco",24,"3rd","M","N","Mr "
"RICE, Master Eric",7,"3rd","M","N","Mas"
"HOWARD, Mrs Ellen Truelove",61,"2nd","F","N","Mrs"
"RAF?L-B?LUS, Mr B?kh?s",21,"3rd","M","N","Mr "
"CASSEBEER, Mrs Eleanor Genevieve",36,"1st","F","Y","Mrs"
"NANCARROW, Mr William Henry",36,"3rd","M","N","Mr "
"MITKOFF, Mr Mito",23,"3rd","M","N","Mr "
"SAGE, Mr Frederick",17,"3rd","M","N","Mr "
"JOHNSON, Mrs Elisabeth Vilhelmina",26,"3rd","F","Y","Mrs"
"MEO (MARTINO), Mr Alfonzo",48,"3rd","M","N","Mr "
"GEORGE/JOSEPH, Mrs Shawneene",38,"3rd","F","Y","Mrs"
"BENGTSSON, Mr Johan Viktor",26,"3rd","M","N","Mr "
"ROWE, Mr Alfred G.",59,"1st","M","N","Mr "
"DE PELSMAEKER, Mr Alfons",16,"3rd","M","N","Mr "
"TANN?S, Master As'ad",0,"3rd","M","Y","Mas"
"THORNEYCROFT, Mrs Florence Kate",33,"3rd","F","Y","Mrs"
"PARRISH, Mrs Lutie Davis",59,"2nd","F","Y","Mrs"
"DREW, Master Marshall Brines",8,"2nd","M","Y","Mas"
"VAN IMPE, Mrs Rosalie Paula",30,"3rd","F","N","Mrs"
